Id,Nombre,Nombre2,ApellidoPaterno,ApellidoMaternos,NombreCompleto,Militancia
917,Gastón,,Von Mühlenbrock,Zamora,Gastón Von Mühlenbrock Zamora,UDI
963,Matías,,Walker,Prieto,Matías Walker Prieto,DC
1086,Gonzalo,,Winter,Etcheberry,Gonzalo Winter Etcheberry,
1087,Gael,,Yeomans,Araya,Gael Yeomans Araya,
1093,Patricia,,Rubio,Escobar,Patricia Rubio Escobar,
1088,Camilo,,Morán,Bahamondes,Camilo Morán Bahamondes,
1089,Nora,,Cuevas,Contreras,Nora Cuevas Contreras,
1090,Tomás Andrés,,Fuentes,Barros,Tomás Andrés Fuentes Barros,
1091,Rubén,,Moraga,Mamani,Rubén Moraga Mamani,
1092,Marcela,,Sandoval,Osorio,Marcela Sandoval Osorio,
