Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
33998,"OTROS-En votación la petición de formulada por 64 señoras y señores diputados quienes, de conformidad con lo dispuesto en el artículo 52, N° 1, letra c) de la Constitución Política de la República y el artículo 313 del Reglamento de la Corporación, solicitan la creación de una Comisión Especial Investigadora de los actos del Ministerio de Justicia, la Subsecretaría de la Niñez y el Servicio Nacional de Menores (SENAME) que se han traducido en medidas que tales organismos han adoptado para la protección y resguardo de aquellos menores de edad bajo su tutela por ser víctimas de violencia o vulneración de derechos; en particular deberá determinar la responsabilidad política del Ministerio en la dictación del reglamento sobre otorgamiento de libertad condicional a que alude el artículo 11 de la Ley 21.124, y la forma en que ha contribuido o no al proceso de reinserción social de los condenados que cumplen condena en libertad. 

Para el cumplimiento del propósito la referida Comisión Especial deberá rendir su informe en un plazo no superior a 90 días y para el desempeño del mandato podrá constituirse en cualquier lugar del territorio nacional.",2020-08-20,102,8,18,0,Quórum Simple,Aprobado,Otros,4,1,1
33999,Proyecto de Resolución N°,2020-08-20,94,6,27,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34000,Proyecto de Resolución N°,2020-08-20,125,1,7,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34001,Proyecto de Resolución N°,2020-08-20,113,0,23,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34002,Boletín N° 12996-10,2020-08-20,122,3,11,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34004,Boletín N° 13642-11,2020-08-20,97,27,10,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34005,Boletín N° 13642-11,2020-08-20,84,30,22,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34006,Boletín N° 13642-11,2020-08-20,73,53,8,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34007,Boletín N° 13322-33,2020-08-20,131,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34009,Boletín N° 12724-07,2020-08-20,131,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34014,Boletín N° 13553-13,2020-08-25,136,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34015,Boletín N° 13734-05,2020-08-25,105,4,29,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34016,Boletín N° 13629-21,2020-08-25,140,1,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34017,Boletín N° 13629-21,2020-08-25,80,55,8,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34018,Boletín N° 13629-21,2020-08-25,82,59,5,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34019,Boletín N° 13689-07,2020-08-25,112,6,28,0,3/5,Aprobado,Proyecto de Ley,1,1,7
34020,Boletín N° 13689-07,2020-08-25,98,14,34,0,3/5,Aprobado,Proyecto de Ley,1,1,7
34027,"OTROS-Solicitud de reconsideración de la declaración de inadmisibilidad del proyecto de ley, iniciado en moción, de los diputados señores Gabriel Silber, Tucapel Jiménez, Amaro Labra, y Gastón Saavedra,y de las diputadas señoras Loreto Carvajal, Natalia Castillo, y Alejandra Sepúlveda, que &quot;Declara como presunción de enfermedad de origen laboral el diagnóstico de Covid-19, respecto de trabajadores que se desempeñan presencialmente durante la pandemia&quot;, por cuanto infringe lo dispuesto en el artículo 65, inciso tercero, e inciso cuarto, número 6, de la Constitución Política de la República.",2020-09-01,72,64,4,0,Quórum Simple,Aprobado,Otros,4,1,1
34028,Boletín N° 13624-13,2020-09-01,125,0,16,0,Quórum Calificado,Aprobado,Proyecto de Ley,1,1,2
34029,Boletín N° 13705-15,2020-09-01,84,31,28,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34030,Boletín N° 10259-18,2020-09-01,143,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34031,Boletín N° 10259-18,2020-09-01,143,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34032,Boletín N° 10259-18,2020-09-01,143,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34033,Boletín N° 10259-18,2020-09-01,146,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34034,Boletín N° 11126-07,2020-09-01,145,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34041,Proyecto de Resolución N°,2020-09-01,107,0,6,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34042,Proyecto de Resolución N°,2020-09-01,112,0,2,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34043,Proyecto de Resolución N°,2020-09-01,117,0,0,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34044,Proyecto de Resolución N°,2020-09-01,106,0,9,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34045,Proyecto de Resolución N°,2020-09-01,114,1,1,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34048,Proyecto de Resolución N°,2020-09-01,107,0,1,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34049,Proyecto de Resolución N°,2020-09-01,96,0,7,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34055,"OTROS-Solicitud de reconsideración de la declaración de inadmisibilidad del proyecto de ley, iniciado en moción, de los diputados señores Rocafull; González, don Rodrigo; Monsalve, y Venegas, y de las diputadas señoras Álvarez, doña Jenny; Cicardini; Girardi, y Vallejo, que &quot;Prohíbe la reapertura de establecimientos educacionales de nivel parvulario, básica y media durante el año 2020 y establece una jornada mixta o semipresencial transitoria para todo el año escolar 2021&quot;, por cuanto infringe lo dispuesto en el artículo 65, inciso tercero, de la Constitución Política de la República.",2020-09-02,72,68,5,0,Quórum Simple,Unánime,Otros,4,2,1
34056,Boletín N° 13468-03,2020-09-02,138,0,12,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34057,Boletín N° 13681-10,2020-09-02,149,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34058,Boletín N° 12027-07,2020-09-02,146,5,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34059,Boletín N° 12027-07,2020-09-02,144,6,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34060,Boletín N° 12027-07,2020-09-02,75,75,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
